Time,Speed(MPH),Location,County,State,LAT,LON,Remarks,,
122,60,3 NNW KINROSS,KEOKUK,IA,41.5,-92.01,WINDS IN EXCESS OF 60 MPH. (DVN),,
122,UNK,LOVINGSTON,NELSON,VA,37.77,-78.88,LARGE TREE DOWN (LWX),,
122,UNK,LURAY,PAGE,VA,38.66,-78.46,MULTIPLE 3 FT DIA TREES DOWN. ROOF DAMAGE. (LWX),,
122,UNK,ROANOKE,CITY OF ROANOKE,VA,37.28,-79.96,ROOF DAMAGE AT HIGHLAND AVE AND 9TH STREET. (RNK),,
122,UNK,WAYNESBORO,CITY OF WAYNESBORO,VA,38.07,-78.9,FALLEN TREES DAMAGED 10 APARTMENTS IN 800 BLOCK OF LYNDHURST ROAD IN WAYNESBORO (LWX),,
122,UNK,WILDE ACRES,FREDERICK,VA,39.15,-78.4,NUMEROUS TREES DOWN (LWX),,
122,UNK,WOODSTOCK,SHENANDOAH,VA,38.88,-78.52,TREES ON HOUSES..ROADS..CARS. POWER LINES DOWN THROUGHOUT THE COUNTY (LWX),,
122,UNK,1 WSW STANLEY,PAGE,VA,38.57,-78.53,TREES DOWN. POSSIBLE ROOF BLOWN OFF STRUCTURE (LWX),,
122,UNK,2 SW CAPON BRIDGE,HAMPSHIRE,WV,39.28,-78.46,TREE FELL ON A CAR ON DILLONS RUN ROAD (LWX),,
122,UNK,3 NNW KINROSS,KEOKUK,IA,41.5,-92.01,MACHINE SHED DOORS BLOWN IN. NUMEROUS TREE LIMBS DOWN. (DVN),,
124,UNK,NEW HOPE,AUGUSTA,VA,38.2,-78.91,TREES DOWN (LWX),,
124,UNK,3 E GREENVILLE,AUGUSTA,VA,38.01,-79.1,AT LEAST A DOZEN TREES DOWN..WIDTHS UP TO 16 INCHES (LWX),,
125,UNK,HILLSVILLE,CARROLL,VA,36.77,-80.73,TREES AND POWER LINES DOWN. (RNK),,
125,UNK,LYNCHBURG CITY,CITY OF LYNCHBURG,VA,37.42,-79.15,NUMEROUS TREES AND POWER LINES DOWN. OVER 60 HOMES DAMAGED BY THE WINDS AND FALLING TREES. SOME HOMES ARE UNINHABITABLE. RADAR ESTIMATES STRONGEST WINDS EXITED LYNCHBUR (RNK),,
125,UNK,MERCERSBURG,FRANKLIN,PA,39.83,-77.9,WIRES REPORTED DOWN IN MERCERSBURG. (CTP),,
125,UNK,3 ENE FOREST,CITY OF LYNCHBURG,VA,37.39,-79.24,TREE DOWN AND POWER LINES DOWN ON WAYNE DRIVE. (RNK),,
125,UNK,5 NNW PENHOOK,FRANKLIN,VA,37.05,-79.68,THREE TREES WERE BLOWN DOWN ALONG CARDINAL DRIVE. ONE TREE FELL ON POWERLINES. (RNK),,
125,UNK,5 S LEWISBURG,GREENBRIER,WV,37.73,-80.45,SEVERAL TREES DOWN ON ORGAN CAVE AND CHILDERS ROAD (RNK),,
126,UNK,CAPON BRIDGE,HAMPSHIRE,WV,39.3,-78.44,TREE FELL ON A HOUSE IN CAPON BRIDGE... WV (LWX),,
126,UNK,FAIRVIEW,PAGE,VA,38.66,-78.43,TREE LIMBS DOWN. (LWX),,
126,UNK,LURAY,PAGE,VA,38.67,-78.46,FIREWORKS STAND DEMOLISHED DOWNTOWN (LWX),,
126,UNK,ROANOKE,CITY OF ROANOKE,VA,37.28,-79.96,TWO LARGE TREES DOWN ON 1615 WINDSOR AVE (RNK),,
126,UNK,2 NNW MARION,SMYTH,VA,36.86,-81.51,FIVE TREES DOWN. ONE STRUCTURE DAMAGED BY ONE OF THE TREES. (RNK),,
128,UNK,FOREST,BEDFORD,VA,37.37,-79.28,TREES DOWN. (RNK),,
128,UNK,1 NNW HILLSVILLE,CARROLL,VA,36.78,-80.74,TREE BLOWN DOWN AND NUMEROUS LARGE LIMBS DOWN ON GINGER LANE. (RNK),,
128,UNK,4 ENE FOREST,CITY OF LYNCHBURG,VA,37.4,-79.21,FOUR TREES BLOWN DOWN ON WOODWAY DRIVE. (RNK),,
130,UNK,EARLYSVILLE,ALBEMARLE,VA,38.16,-78.48,NUMEROUS LARGE TREES DOWN IN AND AROUND EARLYSVILLE. (LWX),,
130,UNK,FAIRVIEW,PAGE,VA,38.66,-78.43,TREE LIMBS DOWN (LWX),,
130,UNK,FRIES,CARROLL,VA,36.72,-80.97,MULTIPLE TREES DOWN. (RNK),,
130,UNK,LYNCHBURG CITY,CITY OF LYNCHBURG,VA,37.42,-79.15,LARGE TREE FELL INTO POWER LINES. (RNK),,
130,UNK,14 N MADISON HEIGHTS,AMHERST,VA,37.62,-79.13,NUMEROUS TREES DOWN ON WAGON TRAIL ROAD. (RNK),,
130,UNK,1 SE LYNCHBURG CITY,CITY OF LYNCHBURG,VA,37.4,-79.13,A FEW TREES DOWN ON ELM STREET. (RNK),,
130,UNK,2 WSW LYNCHBURG CITY,CITY OF LYNCHBURG,VA,37.4,-79.18,TREE DOWN ON LAKESIDE DRIVE ACROSS FROM LYNCHBURG COLLEGE. (RNK),,
130,UNK,3 SE LYNCHBURG CITY,CITY OF LYNCHBURG,VA,37.38,-79.12,A FEW TREES WERE BLOWN DOWN ALONG MCKINNEY AVENUE. (RNK),,
130,UNK,4 NNE AMHERST,AMHERST,VA,37.64,-79.02,TWO TREES REPORTED DOWN IN CLIFFORD. SEVERAL LARGE LIMBS ALSO BLOWN DOWN IN THE TOWN OF AMHERST. (RNK),,
130,UNK,5 NNW CANA,CARROLL,VA,36.66,-80.7,SEVERAL TREES DOWN AT MILE MARKER 192 ON THE BLUE RIDGE PARKWAY. (RNK),,
130,UNK,5 NW CLIFFORD,AMHERST,VA,37.7,-79.11,SEVERAL TREES DOWN...BOTH SNAPPED OFF AND UPROOTED. ROADS ARE IMPASSABLE DUE TO DOWNED TREES (RNK),,
132,UNK,AMHERST,AMHERST,VA,37.58,-79.05,MULTIPLE TREES DOWN. (RNK),,
132,UNK,RUSTBURG,CAMPBELL,VA,37.28,-79.1,IN CAMPBELL COUNTY HUNDREDS OF TREES WERE BLOWN DOWN. THE GREATEST CONCENTRATION OF DAMAGE WAS IN THE NORTHERN PORTION OF THE COUNTY. NO SIGNIFICANT STRUCTURAL DAMAGE W (RNK),,
133,UNK,BUCKHANNON,UPSHUR,WV,39,-80.21,LARGE BRANCHES BROKEN. EVENT OCCURRED BETWEEN 918 PM (RLX),,
134,UNK,FLOYD,FLOYD,VA,36.92,-80.32,MULTIPLE TREES DOWN. (RNK),,
135,UNK,BERKELEY SPGS,MORGAN,WV,39.63,-78.23,MULTIPLE TREES AND POWER LINES DOWN THROUGHOUT THE COUNTY. (LWX),,
135,UNK,HILLSVILLE,CARROLL,VA,36.77,-80.73,TREES AND LIMBS BLOWN DOWN..WINDS ESTIMATED BEAR 80 MPH. (RNK),,
135,UNK,WYTHEVILLE,WYTHE,VA,36.95,-81.08,TREES AND POWER LINES DOWN. (RNK),,
135,UNK,1 SSE STANARDSVILLE,GREENE,VA,38.28,-78.43,SEVERAL PINE TREES TOPPLED OVER NEAR LAWSONS FARM RD AND LAWSONS FARM CIRCLE. (LWX),,
135,UNK,5 E FANCY GAP,CARROLL,VA,36.67,-80.62,SEVERAL TREES WERE BLOWN DOWN ALONG THE BLUE RIDGE PARKWAY. (RNK),,
137,UNK,APPOMATTOX,APPOMATTOX,VA,37.36,-78.83,OVER 25 REPORTS OF TREES AND POWER LINES DOWN ACROSS APPOMATTOAX COUNTY. BASED ON RADAR...DAMAGE BEGAN AROUND 937 PM AND CONTINUED THROUGH 1015 PM. (RNK),,
139,63,2 E WINCHESTER,FREDERICK,VA,39.17,-78.14,(LWX),,
139,UNK,MARTINSBURG,BERKELEY,WV,39.46,-77.97,MULTIPLE 20 IN TREES DOWN. (LWX),,
139,UNK,WINCHESTER,CITY OF WINCHESTER,VA,39.17,-78.17,TREE OVER TASKER ROAD (LWX),,
139,UNK,1 SE STANARDSVILLE,GREENE,VA,38.29,-78.42,FOUR LARGE TREES DOWN AND MINOR SIDING DAMAGE. (LWX),,
140,68,2 E HARRISONBURG,CITY OF HARRISONBU,VA,38.44,-78.84,(LWX),,
140,UNK,ALBIN,FREDERICK,VA,39.22,-78.2,2 FOOT DIAMETER TREE INTO A HOUSE WITH 1 ENTRAPMENT ALONG INDIAN HOLLOW RD (LWX),,
140,UNK,FRONT ROYAL,WARREN,VA,38.92,-78.18,NUMEROUS TREES DOWN THROUGHOUT WARREN COUNTY (LWX),,
140,UNK,MARTINSVILLE CITY,CITY OF MARTINSVIL,VA,36.68,-79.87,400 REPORTS OF TREES AND POWERLINES DOWN ACROSS HENRY COUNTY AND THE CITY OF MARTINESVILLE. SOME VEHICLES AND PERSONAL PROPERTY DAMAGED...OVERALL SCOPE OF DAMAGE UNKNOW (RNK),,
140,UNK,1 N ALBERENE,ALBEMARLE,VA,37.91,-78.61,LARGE...MATURE OAK TREE WAS BLOWN INTO HOUSE ON PLANK ROAD. EXTENSIVE ROOF AND SIGNIFICANT STRUCTURAL DAMAGE. (LWX),,
140,UNK,2 E WINCHESTER,FREDERICK,VA,39.17,-78.14,TREE ON HOUSE (LWX),,
142,70,SPERRYVILLE,RAPPAHANNOCK,VA,38.66,-78.23,TREES DOWN (LWX),,
142,UNK,BASSETT,HENRY,VA,36.77,-79.98,MULTIPLE TREES DOWN WITH TELEPHONE POLES ON FIRE AT 1590 BASSETT HEIGHTS ROAD. (RNK),,
143,UNK,MOUNT AIRY,SURRY,NC,36.5,-80.61,AT LEAST 200 TREES BLOWN DOWN ACROSS SURRY COUNTY BETWEEN 943 PM AND 1005 PM. FIVE RESIDENTS EXPERIENCED TREES DOWN ON ROOFS...EIGHT TREES FELL ON VEHICLES. (RNK),,
143,UNK,2 N IVY,ALBEMARLE,VA,38.09,-78.6,*** 1 FATAL *** TREE STRUCK MAN ON HIS PORCH (LWX),,
143,UNK,2 WNW CENTENARY,BUCKINGHAM,VA,37.71,-78.56,NUMEROUS TREES DOWN THROUGHOUT THE COUNTY WITH ONE HOUSE DAMAGED. STRONGEST WINDS ENTERED THE COUNTY AROUND 945 PM AND EXITED AROUND 1035 PM. (RNK),,
144,UNK,WASHINGTON,RAPPAHANNOCK,VA,38.71,-78.16,TREES DOWN COUNTYWIDE (LWX),,
144,UNK,1 NNE WINCHESTER,CITY OF WINCHESTER,VA,39.18,-78.17,TREE DOWN ON HOUSE ON WASHINGTON STREET. (LWX),,
144,UNK,1 NNE WINCHESTER,CITY OF WINCHESTER,VA,39.18,-78.17,TREE ON HOUSE (LWX),,
144,UNK,1 S ALBIN,FREDERICK,VA,39.21,-78.2,FEW TREES KNOCKED DOWN ONTO TRAILER HOMES NEAR RT 37 AND US 522. (LWX),,
144,UNK,1 SW JONES SPRINGS,BERKELEY,WV,39.48,-78.11,MULTIPLE LARGE TREES DOWN (LWX),,
145,UNK,BERRYVILLE,CLARKE,VA,39.15,-77.98,MULTIPLE TREES DOWN (LWX),,
145,UNK,LYNCHBURG CITY,CITY OF LYNCHBURG,VA,37.42,-79.15,TREES AND POWER LINES DOWN ALONG INDIAN HILLS ROAD. (RNK),,
145,UNK,STUART,PATRICK,VA,36.63,-80.28,TREES DOWN BLOCKING RT 58 (RNK),,
145,UNK,1 N ADVANCE MILLS,ALBEMARLE,VA,38.2,-78.44,SEVERAL TREES AND BRANCHES DOWN. LARGEST TREE ABOUT 15 INCHES IN DIAMETER. (LWX),,
145,UNK,2 SE WINCHESTER,FREDERICK,VA,39.16,-78.15,TREE KNOCKED OVER ONTO TRACTOR TRAILER ALONG US 50. (LWX),,
145,UNK,6 E STUART,PATRICK,VA,36.63,-80.18,150 TO 175 CALLS OF TREES AND POWERLINES DOWN ACROSS THE COUNTY FROM A THUNDERSTORM GUST FRONT WHICH MOVED ACROSS THE COUNTY BETWEEN 930 AND 1000 PM. TREE FELL ON HOUSE (RNK),,
146,UNK,CHARLOTTESVILLE,CITY OF CHARLOTTES,VA,38.04,-78.49,SEVERAL TREES FELL ON HOUSES (LWX),,
148,60,2 E MARTINSBURG,BERKELEY,WV,39.46,-77.94,TWO LARGE TREES OF SEVERAL FEET IN DIAMETER AND HEIGHT OF 20 FEET UPROOTED. SEVERAL OTHER SMALLER TREES AND LIMBS DOWN...ALL IN VICINITY OF ROSEDALE CEMETERY. (LWX),,
148,70,CROZET,ALBEMARLE,VA,38.07,-78.7,WIDESPREAD TREES DOWN (LWX),,
148,UNK,KEENE,ALBEMARLE,VA,37.87,-78.56,*** 1 FATAL,1 INJ *** DRIVER STRUCK BY TREE ALONG SCOTTSVILLE RD (LWX),
148,UNK,KEENE,ALBEMARLE,VA,37.87,-78.56,*** 1 FATAL,3 INJ *** DRIVER STRUCK BY TREE ALONG SCOTTSVILLE RD. THREE OTHER PEOPLE FROM A DIFFERENT CAR WERE STRUCK BY THE SAME TREE WHILE STANDING NEXT TO THEIR CAR (LWX),
148,UNK,KEENE,ALBEMARLE,VA,37.87,-78.56,*** 1 FATAL *** DRIVER STRUCK BY TREE ALONG SCOTTSVILLE RD (LWX),,
148,UNK,MADISON,MADISON,VA,38.38,-78.26,NUMEROUS TREES AND POWER LINES DOWN THROUGHOUT MADISON COUNTY. (LWX),,
148,UNK,MARTINSBURG,BERKELEY,WV,39.46,-77.97,MULTIPLE TREES DOWN. (LWX),,
148,UNK,1 NNE WINCHESTER,CITY OF WINCHESTER,VA,39.18,-78.17,FIVE TREES DOWN NEAR INTERSECTION OF WOLFE AND WASHINGTON. (LWX),,
148,UNK,1 SW JONES SPRINGS,BERKELEY,WV,39.48,-78.11,MULTIPLE LARGE TREES DOWN (LWX),,
148,UNK,2 WNW WINEBRENNERS CROS,BERKELEY,WV,39.44,-77.93,TREES DOWN. LARGE TREE SNAPPED IN HALF. PORTION OF HOUSE TRIM PEELED AWAY FROM HOUSE. (LWX),,
149,59,1 SSW WALKERSVILLE,FREDERICK,MD,39.48,-77.36,(LWX),,
149,69,1 NNE HARRISONBURG,CITY OF HARRISONBU,VA,38.45,-78.87,(LWX),,
150,60,BUNKER HILL,BERKELEY,WV,39.33,-78.05,(LWX),,
150,60,1 ENE CHARLES TOWN,JEFFERSON,WV,39.29,-77.85,(LWX),,
150,UNK,1 NE MARTINSBURG,BERKELEY,WV,39.47,-77.95,BRANCHES AND POWERLINES DOWN NEAR INTERSECTION OF JANICE AND CEARFOSS STREETS. (LWX),,
150,UNK,2 SSW LEWISTOWN,FREDERICK,MD,39.51,-77.43,TREE LIMBS BROKEN (LWX),,
150,UNK,3 SSE MOUTH OF WILSON,ALLEGHANY,NC,36.53,-81.32,TWO TREES DOWN ON KINGS CREEK RD (RNK),,
151,UNK,CHARLOTTESVILLE,CITY OF CHARLOTTES,VA,38.04,-78.49,SEVERAL TREES FELL ON HOUSES (LWX),,
152,UNK,1 NNE MIDDLEWAY,JEFFERSON,WV,39.32,-77.97,LARGE TREE DOWN ON DECK. SIDING TORN OFF HOUSE. POWER OUT. (LWX),,
152,UNK,2 S ENNICE,ALLEGHANY,NC,36.52,-80.99,TREE DOWN ON GLADE CREEK SCHOOL RD (RNK),,
154,UNK,2 SSE SHENANDOAH JUNCTI,JEFFERSON,WV,39.34,-77.83,SEVERAL LARGE TREES AND POWERLINES DOWN ALONG FLOWING SPRINGS ROAD. (LWX),,
155,61,2 SE WINCHESTER,FREDERICK,VA,39.15,-78.15,(LWX),,
155,UNK,7 WNW CENTENARY,BUCKINGHAM,VA,37.73,-78.64,MORE THAN 50 REPORTS OF TREES AND POWER LINES BLOWN DOWN ACROSS BUCKINGHAM COUNTY. FIRST REPORT OF DAMAGE WAS TREES DOWN ON HOWARDSVILLE ROAD AROUND 955 PM. STORMS EXIT (RNK),,
156,UNK,BERRYVILLE,CLARKE,VA,39.15,-77.99,TREE LIMBS DOWN ON ELECTRICAL WIRES. (LWX),,
156,UNK,CULPEPER,CULPEPER,VA,38.47,-78,TREES DOWN COUNTYWIDE. TREES ON HOUSES. (LWX),,
156,UNK,2 SSE SHENANDOAH JUNCTI,JEFFERSON,WV,39.33,-77.83,TREES DOWN ON FLOWING SPRINGS ROAD BETWEEN DANIEL ROAD AND JOB CORP ROAD. (LWX),,
200,UNK,CHARLOTTE COURT HOUSE,CHARLOTTE,VA,37.05,-78.63,50-75 REPORTS OF DOWNED TREES AND POWERLINES ACROSS THE COUNTY BETWEEN 1000 PM AND 1050 PM. HARDEST HIT AREA WAS ASPEN...IN THE WESTERN PART OF THE COUNTY. COUPLE REPOR (RNK),,
200,UNK,HALIFAX,HALIFAX,VA,36.77,-78.93,APPOX. 100 REPORTS OF TREES AND POWERLINES DOWN BETWEEN 1000 PM AND 1050 PM. (RNK),,
200,UNK,MOUNT WEATHER,CLARKE,VA,39.06,-77.89,LARGE TREES BLOCKING THE INTERSECTION OF ROUTE 601 AND MOUNT WEATHER. (LWX),,
200,UNK,ORANGE,ORANGE,VA,38.25,-78.11,NUMEROUS 4 TO 6 IN LIMBS DOWN. POWER OUT. ROUTE 620. (LWX),,
200,UNK,SANDY RIDGE,STOKES,NC,36.5,-80.12,43 REPORTS OF TREES AND POWERLINES DOWN ACROSS THE COUNTY FROM THUNDERSTORM GUST FRONT WHICH CROSSED THE COUNTY BETWEEN 1000 AND 1030 PM. HEAVIEST DAMAGE WAS IN THE NOR (RNK),,
200,UNK,WENTWORTH,ROCKINGHAM,NC,36.4,-79.77,151 REPORTS OF TREES AND POWERLINES DOWN ACROSS THE COUNTY FROM THUNDERSTORM GUST FRONT WHICH ENTERED THE COUNTY AT 1000 PM AND EXITED COUNTY AT 1030 PM. 1 TREE FELL ON (RNK),,
200,UNK,1 NE UNIONVILLE,ORANGE,VA,38.27,-77.96,TREES DOWN ON ROUTE 20 AND ROUTE 522. (LWX),,
200,UNK,5 W LYNCHBURG CITY,CITY OF LYNCHBURG,VA,37.42,-79.24,NUMEROUS TREES DOWN. (RNK),,
201,UNK,BLUEMONT,LOUDOUN,VA,39.11,-77.83,NUMEROUS TREES DOWN BLOCKING ROAD. (LWX),,
202,UNK,BLAIRS,PITTSYLVANIA,VA,36.68,-79.38,NUMEROUS TREES AND POWER LINES AROUND BLAIRS. (RNK),,
203,UNK,1 W DANVILLE CITY,CITY OF DANVILLE,VA,36.58,-79.44,*** 1 INJ *** MULTIPLE REPORTS OF LARGE TREES DOWN ALONG WEST MAIN STREET AND WINDSOR HEIGHTS SUBDIVISION. PERSON INJURED BY FALLING TREE LIMB...FELL ON PERSONS ARM. (RNK),,
203,UNK,1 WNW BOLIVAR,JEFFERSON,WV,39.33,-77.76,LARGE TREE DOWN ACROSS ROADWAY AT MD 17 AT MD79. (LWX),,
204,UNK,3 W KING,STOKES,NC,36.28,-80.42,LARGE TREE UPROOTED ON RIERSON ROAD AT SPRING DRIVE (RNK),,
205,UNK,PURCELLVILLE,LOUDOUN,VA,39.14,-77.72,TREE WAS DOWNED ON A HOUSE ALONG THE 400 BLOCK OF WEST MAIN STREET. (LWX),,
205,UNK,1 E PURCELLVILLE,LOUDOUN,VA,39.14,-77.7,LARGE TREE DOWNED...DAMAGING FENCE ON PICKWICK STREET. (LWX),,
205,UNK,1 SSE EVERONA,ORANGE,VA,38.3,-77.96,ONE AND A HALF TO TWO FEET DIAMETER TREE BLOCKING ROADWAY OF RT 617 (LWX),,
205,UNK,1 W PURCELLVILLE,LOUDOUN,VA,39.14,-77.72,TREE SNAPPED ON 500 BLOCK OF WEST MAIN STREET. (LWX),,
205,UNK,1 W PURCELLVILLE,LOUDOUN,VA,39.14,-77.73,LARGE TREE UPROOTED. (LWX),,
205,UNK,3 SW MOUNT HOLLY SPRING,CUMBERLAND,PA,40.08,-77.22,TREES AND WIRES REPORTED DOWN IN DICKINSON TWP. (CTP),,
205,UNK,4 W ALPHA,MERCER,IL,41.19,-90.46,FLAGPOLE BENT OVER AND TREE LIMBS BLOWN DOWN. WINDS ESTIMATED AT 70 MPH. RELAYED BY NWS LINCOLN. (DVN),,
205,UNK,4 W ALPHA,XXX,XX,43,-92.13,FLAGPOLE BENT OVER AND TREE LIMBS BLOWN DOWN. WINDS ESTIMATED AT 70 MPH. (DVN),,
206,UNK,5 S BLAIRS,CITY OF DANVILLE,VA,36.62,-79.39,TREES AND LARGE BRANCHES DOWN ON TIMBERLAKE DRIVE. (RNK),,
208,60,2 ENE LOVETTSVILLE,LOUDOUN,VA,39.29,-77.6,(LWX),,
208,UNK,EDEN,ROCKINGHAM,NC,36.51,-79.74,SEVERAL TREES BLOWN DOWN. (RNK),,
208,UNK,MAUGANSVILLE,WASHINGTON,MD,39.69,-77.75,NUMEROUS TREES DOWN AND A FEW POWER LINES DOWN. 1 HOME WAS STRUCK BY LIGHTNING... MINOR DAMAGE (LWX),,
209,UNK,FREDERICK,FREDERICK,MD,39.43,-77.42,TREES DOWN COUNTYWIDE. TRANSFORMERS BLOWN. HIGH WATER ON ROADS. (LWX),,
209,UNK,MARSHALL,FAUQUIER,VA,38.87,-77.85,NUMEROUS TREES DOWN ALONG ROADWAYS...SOME ONTO HOUSES AND CARS IN A STRETCH FROM 5 MILES WEST OF MARSHALL THROUGH MARSHALL TO WARRENTON. (LWX),,
209,UNK,PURCELLVILLE,LOUDOUN,VA,39.14,-77.71,TWO LARGE TREES DOWN ON MAIN STREET IN PURCELLVILLE. (LWX),,
209,UNK,1 NE TAYLORSTOWN,LOUDOUN,VA,39.26,-77.56,MULTIPLE LARGE TREES DOWN ON FURNACE MOUNTAIN ROAD...MAKING IT IMPASSIBLE BETWEEN ROUTE 15 AND TAYLORSTOWN ROAD. (LWX),,
209,UNK,1 W PURCELLVILLE,LOUDOUN,VA,39.14,-77.73,LARGE TREE UPROOTED ON GOLF COURSE JUST WEST OF PURCELLVILLE (LWX),,
210,UNK,FREDERICK,FREDERICK,MD,39.43,-77.42,WIDESPREAD TREES DOWN AND ROADS BLOCKED. (LWX),,
210,UNK,LOUISA,LOUISA,VA,38.02,-78,SEVERAL LARGE TREES...POWER POLES...POWER LINES AND BRANCHES DOWN COUNTY WIDE IN LOUISA COUNTY. TREES REPORTED DOWN ON HOMES AND CARS IN MINERAL. (AKQ),,
210,UNK,LOUISA,LOUISA,VA,38.02,-78,TREES DOWN ON COLUMBIA AND LOUISA ROADS (AKQ),,
210,UNK,MINERAL,LOUISA,VA,38.01,-77.91,SEVERAL LARGE TREES DOWN IN MINERAL. (AKQ),,
210,UNK,1 NE WATERFORD,LOUDOUN,VA,39.2,-77.59,DAMAGE TO ROOF OF HOME. MANY TREES TWO AND A HALF TO THREE FEET IN DIAMETER SNAPPED IN HALF ALONG THICKET CT. (LWX),,
210,UNK,4 SSE DANVILLE CITY,CASWELL,NC,36.53,-79.4,A FEW TREES AND SEVERAL LARGE TREE LIMBS WERE BLOWN DOWN ALONG WALTERS MILL ROAD NEAR THE INTERSECTION HIGHWAY 86 (RNK),,
214,UNK,PLANO,KENDALL,IL,41.66,-88.53,TWO 70 FOOT SECTIONS OF WOODEN FENCING BLOWN DOWN. DELAYED REPORT (LOT),,
214,UNK,1 W GLEEDSVILLE,LOUDOUN,VA,39.05,-77.62,TWO FOOT DIAMETER TREE DOWN NEAR INTERSECTION OF ROUTE 15 AND GAP ROAD. (LWX),,
215,60,1 SE MIDLAND,FAUQUIER,VA,38.59,-77.71,WARRENTON AIRPORT AWOS (LWX),,
215,60,2 SSW LEESBURG,LOUDOUN,VA,39.08,-77.57,(LWX),,
215,60,2 WNW GROTTOES,ROCKINGHAM,VA,38.28,-78.85,(LWX),,
215,69,2 SSW LEESBURG,LOUDOUN,VA,39.08,-77.57,(LWX),,
215,UNK,HUDDLESTON,BEDFORD,VA,37.17,-79.48,NUMEROUS TREES DOWN. (RNK),,
215,UNK,YANCEYVILLE,CASWELL,NC,36.41,-79.34,20 REPORTS OF DOWNED TREES ON ROADS AND 2 REPORTS OF TREES ON VEHICLES PER THUNDERSTORM GUST FRONT WHICH ENTERED THE COUNTY AT 1015 PM AND EXITED THE COUNTY AT 1045 PM. (RNK),,
218,UNK,KING GEORGE,KING GEORGE,VA,38.27,-77.18,NUMEROUS TREES DOWN THROUGHOUT THE COUNTY (LWX),,
218,UNK,STERLING,LOUDOUN,VA,39.01,-77.42,MAPLE TREE TOPS WERE SNAPPED OFF...SHINGLES WERE BLOWN OFF ROOFS. (LWX),,
219,68,3 NE NOKESVILLE,PRINCE WILLIAM,VA,38.73,-77.55,(LWX),,
219,UNK,1 NNE ASHBURN,LOUDOUN,VA,39.06,-77.47,DECK PARTIALLY REMOVED FROM TOWNHOUSE ON HURON TERRACE. (LWX),,
219,UNK,2 E MILTON,CASWELL,NC,36.53,-79.17,TREES DOWN ON SNATCHBURG ROAD. (RNK),,
220,61,1 SE GAINESVILLE,PRINCE WILLIAM,VA,38.78,-77.6,(LWX),,
220,63,2 NNE BELMONT,LOUDOUN,VA,39.09,-77.49,(LWX),,
220,UNK,PELHAM,CASWELL,NC,36.5,-79.47,CASWELL EMERGENCY MANAGER REPORTS DOZENS OF TREES DOWN THROUGHOUT THE COUNTY. DAMAGE STARTED AT 1020 PM EDT IN THE NORTHWEST PART OF THE COUNTY AND CONTINUED UNTIL 1050 (RNK),,
220,UNK,REIDSVILLE,ROCKINGHAM,NC,36.35,-79.67,SEVERAL LIMBS BROKEN OUT OF TREES AND LIGHT POLE BLOWN OVER. (RNK),,
221,66,2 E HOLLY CORNER,STAFFORD,VA,38.36,-77.53,(LWX),,
221,UNK,2 WSW STERLING,LOUDOUN,VA,38.99,-77.47,LARGE LIMBS ON ROUTE 606. (LWX),,
222,67,1 SE ASHBURN,LOUDOUN,VA,39.04,-77.47,(LWX),,
222,70,1 NE ASHBURN,LOUDOUN,VA,39.06,-77.47,(LWX),,
222,70,1 SSW GLENDIE,STAFFORD,VA,38.38,-77.54,MEASURED NEAR INTERSECTION OF ROUTE 17 AND POPLAR ROAD. (LWX),,
222,UNK,CLARKSBURG,MONTGOMERY,MD,39.24,-77.28,TREES DOWNED. (LWX),,
222,UNK,SPOTSYLVANIA,SPOTSYLVANIA,VA,38.2,-77.59,NUMEROUS TREES FALLEN ACROSS ROADS IN SPOTSYLVANIA COUNTY. (LWX),,
222,UNK,1 NW STERLING,LOUDOUN,VA,39.02,-77.45,LARGE LIMBS SNAPPED ON LOUDOUN COUNTY PARKWAY JUST SOUTH OF WASHINGTON AND OLD DOMINION TRAIL. (LWX),,
222,UNK,1 SW COUNTRYSIDE,LOUDOUN,VA,39.05,-77.42,SMALL TREE FELL ONTO UNOCCUPIED CAR IN A DRIVEWAY ON CLEAR SPRING TERRACE. (LWX),,
222,UNK,1 SW STERLING,LOUDOUN,VA,39,-77.45,TREE SNAPPED NEAR INTERSECTION OF BRODERICK AND MORAN. (LWX),,
222,UNK,1 WNW ROSEVILLE,STAFFORD,VA,38.47,-77.52,TREE BLOCKING THE ROADWAY NEAR THE INTERSECTION OF MOUNT VIEW AND JOSHUA ROAD. (LWX),,
222,UNK,1 W RUBY,STAFFORD,VA,38.51,-77.54,NUMEROUS TREES DOWN ON ARROWHEAD DRIVE. (LWX),,
222,UNK,1 W STERLING,LOUDOUN,VA,39.01,-77.45,SMALL LIMBS SNAPPED ON BRODERICK SOUTH OF WAXPOOL. (LWX),,
223,71,1 NNE DULLES INTERNATIO,LOUDOUN,VA,38.96,-77.45,(LWX),,
223,UNK,STERLING PARK,LOUDOUN,VA,39.01,-77.41,LARGE TREE DOWN ONTO HOUSE. (LWX),,
223,UNK,1 ESE STERLING PARK,LOUDOUN,VA,39,-77.39,MEDIUM SIZED TREE DOWN ACROSS ROADWAY. (LWX),,
223,UNK,1 ESE STERLING PARK,LOUDOUN,VA,39,-77.4,LARGE TREE LIMB DOWN OVER 20 TO 30 FEET HIGH POWERLINES ON HOLLY AVENUE. (LWX),,
